0.44	3.06	9.27	13.59	23.72	27.62	31.58	34.89	35.54	35.54	
0.92	4.8	9.11	13.82	18.2	20.65	21.31	21.61	25.16	23.24	
0.84	3.59	10.99	18.28	26.04	32.46	37.38	43.28	39.43	45.09	
0.79	3.34	14.01	19.64	31.18	37.38	42.64	44.98	44.51	46.56	
0.81	3.53	9.29	12.34	21.09	19.83	22.81	28.29	25.41	27.04	
1.24	4.6	9.29	15.0	18.88	22.28	26.37	27.45	31.63	32.33	
0.56	4.06	8.95	12.74	18.3	22.56	19.96	27.35	27.13	31.75	
1.1	3.97	10.97	17.56	26.6	31.06	36.12	40.17	46.43	44.83	
1.06	4.78	8.77	11.46	18.1	23.18	28.25	28.76	34.75	38.92	
1.03	4.24	7.64	12.83	18.46	21.47	25.66	26.59	27.03	29.28	
