2.86	22.92	41.89	56.33	64.23	70.49	74.52	78.09	80.35	80.95	
3.05	22.88	44.09	56.87	66.05	71.98	74.92	78.74	80.42	82.44	
3.97	24.67	43.39	56.54	64.91	71.09	75.47	77.11	80.9	82.19	
2.83	23.74	43.25	55.41	65.48	71.05	76.13	78.59	80.13	82.37	
3.1	23.02	41.55	56.92	64.03	71.05	73.03	77.67	79.53	81.62	
3.39	22.93	42.12	57.19	65.45	71.5	75.67	77.41	80.47	82.61	
3.78	24.42	44.17	56.06	63.65	70.78	74.66	76.91	80.17	82.24	
3.25	24.79	42.61	56.27	65.9	70.67	74.62	77.7	80.41	83.05	
2.96	23.65	43.58	55.61	66.18	71.1	75.68	77.6	80.33	81.83	
3.2	24.51	44.43	57.57	65.44	70.28	74.58	78.53	80.79	82.48	
