0.83	4.19	7.17	9.25	10.9	11.9	13.65	14.94	17.55	16.61	
1.34	5.13	6.95	10.35	12.6	13.37	15.55	16.49	19.12	19.8	
1.14	4.92	8.15	9.83	12.15	15.54	15.9	17.49	20.63	20.41	
1.55	3.92	8.43	9.43	14.81	14.84	18.26	17.36	17.51	20.96	
0.96	3.82	7.66	10.81	13.03	14.87	16.82	15.68	15.47	19.71	
1.06	4.86	6.48	9.32	13.79	17.85	20.46	22.73	27.15	30.03	
0.98	3.84	7.61	10.56	14.63	12.81	14.08	14.56	15.15	16.55	
1.19	5.0	7.32	9.39	11.86	14.64	17.59	17.26	18.54	24.5	
0.82	4.6	6.88	9.24	10.64	13.55	16.19	18.04	20.61	23.82	
1.4	5.01	8.28	9.75	11.03	12.55	13.17	14.04	17.05	21.86	
